"		192",柳林,2016-11-28,61.5,20
"		192",柳林,2016-11-29,56,20
"		192",柳林,2016-11-30,71,55
"		192",柳林,2016-12-01,59.1,23
"		192",柳林,2016-12-02,60.9,14
"		192",柳林,2016-12-03,63.1,19
"		192",柳林,2016-12-04,75.3,51
"		192",柳林,2016-12-05,76.1,50
"		192",柳林,2016-12-06,40,15
"		192",柳林,2016-12-07,68.4,38
"		192",柳林,2016-12-08,70.4,36
"		192",柳林,2016-12-09,49.9,20
"		192",柳林,2016-12-10,45.4,9
"		192",柳林,2016-12-11,47.3,15
"		192",柳林,2016-12-12,54.9,32
"		192",柳林,2016-12-13,64,43
"		192",柳林,2016-12-14,48.1,19
"		192",柳林,2016-12-15,47.6,20
"		192",柳林,2016-12-16,35.8,9
"		192",柳林,2016-12-17,62.6,26
"		192",柳林,2016-12-18,71.6,38
"		192",柳林,2016-12-19,86.6,69
"		192",柳林,2016-12-20,81.5,46
"		192",柳林,2016-12-21,87.5,72
"		192",柳林,2016-12-22,65.1,52
"		192",柳林,2016-12-23,49.4,34
"		192",柳林,2016-12-24,54.3,34
"		192",柳林,2016-12-25,73,44
"		192",柳林,2016-12-26,86,80
"		192",柳林,2016-12-27,47.8,23
"		192",柳林,2016-12-28,55.6,21
"		192",柳林,2016-12-29,47.5,22
"		192",柳林,2016-12-30,51.6,11
"		192",柳林,2016-12-31,65.3,30
"		192",柳林,2017-01-01,71.9,32
"		192",柳林,2017-01-02,72.8,36
"		192",柳林,2017-01-03,68.4,25
"		192",柳林,2017-01-04,71.9,37
"		192",柳林,2017-01-05,68.1,43
"		192",柳林,2017-01-06,60.5,37
"		192",柳林,2017-01-07,69.9,48
"		192",柳林,2017-01-08,76.4,46
"		192",柳林,2017-01-09,57.4,28
"		192",柳林,2017-01-10,55.8,22
"		192",柳林,2017-01-11,33,14
"		192",柳林,2017-01-12,55.3,29
"		192",柳林,2017-01-13,44.9,29
"		192",柳林,2017-01-14,34.3,15
"		192",柳林,2017-01-15,32.4,10
"		192",柳林,2017-01-16,39.8,11
"		192",柳林,2017-01-17,50,19
"		192",柳林,2017-01-18,49.4,27
"		192",柳林,2017-01-19,59.1,18
"		192",柳林,2017-01-20,50.1,27
"		192",柳林,2017-01-21,55.1,27
"		192",柳林,2017-01-22,42.4,22
"		192",柳林,2017-01-23,39.8,16
"		192",柳林,2017-01-24,44.1,13
"		192",柳林,2017-01-25,49,9
"		192",柳林,2017-01-26,45.8,14
"		192",柳林,2017-01-27,33.6,9
"		192",柳林,2017-01-28,45.1,10
"		192",柳林,2017-01-29,80.9,55
"		192",柳林,2017-01-30,47.9,23
"		192",柳林,2017-01-31,50.9,18
"		192",柳林,2017-02-01,34.6,16
"		192",柳林,2017-02-02,37.9,7
"		192",柳林,2017-02-03,48.8,13
